PLANT_NO,DATE_TIME,OM_TEMPERATURE_2M,OM_RELATIVE_HUMIDITY_2M,OM_DEW_POINT_2M,OM_APPARENT_TEMPERATURE,OM_PRESSURE_MSL,OM_SURFACE_PRESSURE,OM_PRECIPITATION,OM_CLOUD_COVER,OM_WIND_SPEED_10M,OM_WIND_DIRECTION_10M,OM_SHORTWAVE_RADIATION,OM_DIRECT_RADIATION,OM_DIFFUSE_RADIATION,OM_DIRECT_NORMAL_IRRADIANCE,OM_SUNSHINE_DURATION,LATITUDE,LONGITUDE,OPEN_METEO_TIMEZONE,OPEN_METEO_UTC_OFFSET_SECONDS
2,2020-05-15 00:00:00,28.9,52,18.0,30.9,1008.5,944.6,0.0,99,6.5,276,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 00:15:00,28.9,52,18.0,30.9,1008.5,944.6,0.0,99,6.5,276,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 00:30:00,28.9,52,18.0,30.9,1008.5,944.6,0.0,99,6.5,276,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 00:45:00,28.9,52,18.0,30.9,1008.5,944.6,0.0,99,6.5,276,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 01:00:00,28.9,51,17.6,30.7,1008.0,944.2,0.0,99,5.9,256,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 01:15:00,28.9,51,17.6,30.7,1008.0,944.2,0.0,99,5.9,256,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 01:30:00,28.9,51,17.6,30.7,1008.0,944.2,0.0,99,5.9,256,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 01:45:00,28.9,51,17.6,30.7,1008.0,944.2,0.0,99,5.9,256,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 02:00:00,28.5,52,17.9,30.2,1008.1,944.2,0.0,92,8.2,221,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 02:15:00,28.5,52,17.9,30.2,1008.1,944.2,0.0,92,8.2,221,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 02:30:00,28.5,52,17.9,30.2,1008.1,944.2,0.0,92,8.2,221,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
2,2020-05-15 02:45:00,28.5,52,17.9,30.2,1008.1,944.2,0.0,92,8.2,221,0.0,0.0,0.0,0.0,0.0,19.997,73.79,Asia/Kolkata,19800
